,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
375,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,audio_features,3N4DI1vuTSX1tz7fa2NQZw,spotify:track:3N4DI1vuTSX1tz7fa2NQZw,https://api.spotify.com/v1/tracks/3N4DI1vuTSX1tz7fa2NQZw,https://api.spotify.com/v1/audio-analysis/3N4DI1vuTSX1tz7fa2NQZw,214947,4
376,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,audio_features,1IAzD1muglOxOcPbUHs70R,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
377,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,audio_features,0fGh0trRN1xz3s41r7V5ce,spotify:track:0fGh0trRN1xz3s41r7V5ce,https://api.spotify.com/v1/tracks/0fGh0trRN1xz3s41r7V5ce,https://api.spotify.com/v1/audio-analysis/0fGh0trRN1xz3s41r7V5ce,274440,4
378,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,audio_features,3Ofmpyhv5UAQ70mENzB277,spotify:track:3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/tracks/3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/audio-analysis/3Ofmpyhv5UAQ70mENzB277,132780,4
379,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
380,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,audio_features,4xkOaSrkexMciUUogZKVTS,spotify:track:4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,297787,4
381,0.753,0.502,1,-6.879,1,0.264,0.0439,1.54e-06,0.128,0.349,205.895,audio_features,1Tfxi7N3DW4zvAuVjt9g8X,spotify:track:1Tfxi7N3DW4zvAuVjt9g8X,https://api.spotify.com/v1/tracks/1Tfxi7N3DW4zvAuVjt9g8X,https://api.spotify.com/v1/audio-analysis/1Tfxi7N3DW4zvAuVjt9g8X,178217,4
382,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,3yfqSUWxFvZELEM4PmlwIR,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
383,0.625,0.646,7,-5.183,1,0.234,0.104,0.00493,0.095,0.372,89.642,audio_features,2rbdKiGANIlCsai77Qu22h,spotify:track:2rbdKiGANIlCsai77Qu22h,https://api.spotify.com/v1/tracks/2rbdKiGANIlCsai77Qu22h,https://api.spotify.com/v1/audio-analysis/2rbdKiGANIlCsai77Qu22h,221333,4
384,0.813,0.557,10,-11.321,0,0.107,0.0697,0.0,0.0917,0.718,150.085,audio_features,1adlccEDefohqww3r5MpDI,spotify:track:1adlccEDefohqww3r5MpDI,https://api.spotify.com/v1/tracks/1adlccEDefohqww3r5MpDI,https://api.spotify.com/v1/audio-analysis/1adlccEDefohqww3r5MpDI,221600,4
385,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,audio_features,15JINEqzVMv3SvJTAXAKED,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,263373,4
386,0.553,0.652,0,-6.685,1,0.206,0.0897,0.0,0.111,0.551,94.505,audio_features,3FNy4yzOhHhFBeA5p4ofoq,spotify:track:3FNy4yzOhHhFBeA5p4ofoq,https://api.spotify.com/v1/tracks/3FNy4yzOhHhFBeA5p4ofoq,https://api.spotify.com/v1/audio-analysis/3FNy4yzOhHhFBeA5p4ofoq,207347,4
387,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,audio_features,2NBQmPrOEEjA8VbeWOQGxO,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4
