,song,artist,date,explicit,uri,popularity,ironhacker,links
27,Stand by Me,Otis Redding,1964,False,spotify:track:1aj4GXfmEYXfdVZohCpNKu,67,Jorge,https://open.spotify.com/track/1aj4GXfmEYXfdVZohCpNKu
28,Brown Eyed Girl,Van Morrison,1967-09,False,spotify:track:3yrSvpt2l1xhsV9Em88Pul,78,Jorge,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
29,Georgia on My Mind,Ray Charles,2021-09-10,False,spotify:track:6yMGxqKj0218mFR5KqsMRq,60,Jorge,https://open.spotify.com/track/6yMGxqKj0218mFR5KqsMRq
30,I've Got a Woman,Ray Charles,1957-01-01,False,spotify:track:2xar08Fq5xra2KKZs5Bw9j,64,Jorge,https://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
31,American Pie,Don McLean,1971,False,spotify:track:1fDsrQ23eTAVFElUMaf38X,73,Jorge,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X
32,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964-10-19,False,spotify:track:5y788ya4NvwhBznoDIcXwK,71,Jorge,https://open.spotify.com/track/5y788ya4NvwhBznoDIcXwK
33,Hallelujah,Leonard Cohen,1984-12-11,False,spotify:track:7yzbimr8WVyAtBX3Eg6UL9,62,Jorge,https://open.spotify.com/track/7yzbimr8WVyAtBX3Eg6UL9
34,Father And Son,Yusuf / Cat Stevens,1970-11-23,False,spotify:track:476V2d6iA2tWXgQboKmTtA,71,Jorge,https://open.spotify.com/track/476V2d6iA2tWXgQboKmTtA
35,Hurt,Johnny Cash,2002-01-01,False,spotify:track:28cnXtME493VX9NOw9cIUh,72,Jorge,https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh
36,Ring of Fire,Johnny Cash,1963-08-06,False,spotify:track:6YffUZJ2R06kyxyK6onezL,69,Jorge,https://open.spotify.com/track/6YffUZJ2R06kyxyK6onezL
37,I'm Just a Kid,Simple Plan,2018-04-06,False,spotify:track:6otiaV2fagE3s8IvP6WkwG,69,Jorge,https://open.spotify.com/track/6otiaV2fagE3s8IvP6WkwG
38,Still Waiting,Sum 41,2002-01-01,True,spotify:track:0jqK7sGTLsHPkQrrcrGuKD,69,Jorge,https://open.spotify.com/track/0jqK7sGTLsHPkQrrcrGuKD
39,In Too Deep,Sum 41,2001-01-01,False,spotify:track:1HNE2PX70ztbEl6MLxrpNL,72,Jorge,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL
40,The Less I Know The Better,Tame Impala,2015-07-17,True,spotify:track:6K4t31amVTZDgR3sKmwUJJ,82,Sindri,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
41,One More Time,Daft Punk,2001-03-12,False,spotify:track:0DiWol3AO6WpXZgp0goxAV,75,Sindri,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
42,"Harder, Better, Faster, Stronger",Daft Punk,2001-03-12,False,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,69,Sindri,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
43,Churchyard,AURORA,2018-09-28,False,spotify:track:43nFhoG7Kenn6b5cbKrBu8,49,Sindri,https://open.spotify.com/track/43nFhoG7Kenn6b5cbKrBu8
44,Queendom,AURORA,2018-09-28,False,spotify:track:3atXfSavxWkrzRNuwzlow6,51,Sindri,https://open.spotify.com/track/3atXfSavxWkrzRNuwzlow6
45,Hero,Skillet,2009-08-21,False,spotify:track:4CbKVDZkYKdv69I4bCaKUq,70,Sindri,https://open.spotify.com/track/4CbKVDZkYKdv69I4bCaKUq
46,Good Goodbye (feat. Pusha T and Stormzy),Linkin Park,2017-05-19,False,spotify:track:650OeHTLxZAQmb4aEbGmaA,60,Sindri,https://open.spotify.com/track/650OeHTLxZAQmb4aEbGmaA
46,Good Goodbye (feat. Pusha T and Stormzy),Pusha T,2017-05-19,False,spotify:track:650OeHTLxZAQmb4aEbGmaA,60,Sindri,https://open.spotify.com/track/650OeHTLxZAQmb4aEbGmaA
46,Good Goodbye (feat. Pusha T and Stormzy),Stormzy,2017-05-19,False,spotify:track:650OeHTLxZAQmb4aEbGmaA,60,Sindri,https://open.spotify.com/track/650OeHTLxZAQmb4aEbGmaA
47,Battle Symphony,Linkin Park,2017-05-19,False,spotify:track:3FQCJI2t5LTbsRPfYVBSVB,62,Sindri,https://open.spotify.com/track/3FQCJI2t5LTbsRPfYVBSVB
48,Hit the Floor,Linkin Park,2003-03-24,False,spotify:track:4wHktoSf6C0C0fAO8IIWqs,56,Sindri,https://open.spotify.com/track/4wHktoSf6C0C0fAO8IIWqs
