,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
16,L'exode,Jumo,2020-06-05,False,spotify:track:7r8kxDfdDrbIdHUGUrrShS,45,Ana,https://open.spotify.com/track/7r8kxDfdDrbIdHUGUrrShS,3JpL06DxPRePrKeYaRhKwH
17,Jo competeixo,Manel,2016-04-08,False,spotify:track:5NSR9uH0YeDo67gMiEv13n,31,Pau,https://open.spotify.com/track/5NSR9uH0YeDo67gMiEv13n,40tHhop0T30DwienQBmTxb
18,Waterfalls,TLC,1994-11-15,False,spotify:track:6qspW4YKycviDFjHBOaqUY,72,Ana S,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY,0TImkz4nPqjegtVSMZnMRq
19,Kill Bill - Sped Up Version,SZA,2023-01-13,False,spotify:track:2ty6DmPnxVPpEFuB23XM0x,74,Ana S,https://open.spotify.com/track/2ty6DmPnxVPpEFuB23XM0x,7tYKF4w9nC0nq9CsPZTHyP
20,Breathless,Caroline Polachek,2020-12-17,False,spotify:track:179YXh5spiRaUDJihittPG,51,Belén,https://open.spotify.com/track/179YXh5spiRaUDJihittPG,4Ge8xMJNwt6EEXOzVXju9a
21,Flowers,Miley Cyrus,2023-01-13,False,spotify:track:0yLdNVWF3Srea0uzk55zFn,100,Belén,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,5YGY8feqx7naU7z4HrwZM6
22,Te Dejo Madrid,Shakira,2001-11-13,False,spotify:track:3ToWC9JYSmDIa9yJs0k6PO,56,Amiga de Pau,https://open.spotify.com/track/3ToWC9JYSmDIa9yJs0k6PO,0EmeFodog0BfCgMzAIvKQp
23,Piano Man,Billy Joel,1973-11-07,False,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,75,Jorge,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ,6zFYqv1mOsgBRQbae3JJ9e
24,I Want You Back,The Jackson 5,1969-12-18,False,spotify:track:5LxvwujISqiB8vpRYv887S,75,Jorge,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S,2iE18Oxc8YSumAU232n4rW
25,ABC,The Jackson 5,1970-05-08,False,spotify:track:6D8kc7RO0rqBLSo2YPflJ5,68,Jorge,https://open.spotify.com/track/6D8kc7RO0rqBLSo2YPflJ5,2iE18Oxc8YSumAU232n4rW
26,(Sittin' On) the Dock of the Bay,Otis Redding,1968,False,spotify:track:3zBhihYUHBmGd2bcQIobrF,77,Jorge,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,60df5JBRRPcnSpsIMxxwQm
27,Stand by Me,Otis Redding,1964,False,spotify:track:1aj4GXfmEYXfdVZohCpNKu,68,Jorge,https://open.spotify.com/track/1aj4GXfmEYXfdVZohCpNKu,60df5JBRRPcnSpsIMxxwQm
28,Brown Eyed Girl,Van Morrison,1967-09,False,spotify:track:3yrSvpt2l1xhsV9Em88Pul,79,Jorge,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,44NX2ffIYHr6D4n7RaZF7A
29,Georgia on My Mind,Ray Charles,2021-09-10,False,spotify:track:6yMGxqKj0218mFR5KqsMRq,61,Jorge,https://open.spotify.com/track/6yMGxqKj0218mFR5KqsMRq,1eYhYunlNJlDoQhtYBvPsi
30,I've Got a Woman,Ray Charles,1957-01-01,False,spotify:track:2xar08Fq5xra2KKZs5Bw9j,65,Jorge,https://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j,1eYhYunlNJlDoQhtYBvPsi
31,American Pie,Don McLean,1971,False,spotify:track:1fDsrQ23eTAVFElUMaf38X,74,Jorge,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,1gRNBaI4yn6wCCTvRhGWh8
32,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964-10-19,False,spotify:track:5y788ya4NvwhBznoDIcXwK,72,Jorge,https://open.spotify.com/track/5y788ya4NvwhBznoDIcXwK,70cRZdQywnSFp9pnc2WTCE
33,Hallelujah,Leonard Cohen,1984-12-11,False,spotify:track:7yzbimr8WVyAtBX3Eg6UL9,63,Jorge,https://open.spotify.com/track/7yzbimr8WVyAtBX3Eg6UL9,5l8VQNuIg0turYE1VtM9zV
34,Father And Son,Yusuf / Cat Stevens,1970-11-23,False,spotify:track:476V2d6iA2tWXgQboKmTtA,72,Jorge,https://open.spotify.com/track/476V2d6iA2tWXgQboKmTtA,08F3Y3SctIlsOEmKd6dnH8
35,Hurt,Johnny Cash,2002-01-01,False,spotify:track:28cnXtME493VX9NOw9cIUh,73,Jorge,https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh,6kACVPfCOnqzgfEF5ryl0x
36,Ring of Fire,Johnny Cash,1963-08-06,False,spotify:track:6YffUZJ2R06kyxyK6onezL,70,Jorge,https://open.spotify.com/track/6YffUZJ2R06kyxyK6onezL,6kACVPfCOnqzgfEF5ryl0x
37,I'm Just a Kid,Simple Plan,2018-04-06,False,spotify:track:6otiaV2fagE3s8IvP6WkwG,70,Jorge,https://open.spotify.com/track/6otiaV2fagE3s8IvP6WkwG,2p4FqHnazRucYQHyDCdBrJ
38,Still Waiting,Sum 41,2002-01-01,True,spotify:track:0jqK7sGTLsHPkQrrcrGuKD,69,Jorge,https://open.spotify.com/track/0jqK7sGTLsHPkQrrcrGuKD,0qT79UgT5tY4yudH9VfsdT
39,In Too Deep,Sum 41,2001-01-01,False,spotify:track:1HNE2PX70ztbEl6MLxrpNL,73,Jorge,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL,0qT79UgT5tY4yudH9VfsdT
40,The Less I Know The Better,Tame Impala,2015-07-17,True,spotify:track:6K4t31amVTZDgR3sKmwUJJ,83,Sindri,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,5INjqkS1o8h1imAzPqGZBb
41,One More Time,Daft Punk,2001-03-12,False,spotify:track:0DiWol3AO6WpXZgp0goxAV,76,Sindri,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV,4tZwfgrHOc3mvqYlEYSvVi
42,"Harder, Better, Faster, Stronger",Daft Punk,2001-03-12,False,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,70,Sindri,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn,4tZwfgrHOc3mvqYlEYSvVi
43,Churchyard,AURORA,2018-09-28,False,spotify:track:43nFhoG7Kenn6b5cbKrBu8,50,Sindri,https://open.spotify.com/track/43nFhoG7Kenn6b5cbKrBu8,1WgXqy2Dd70QQOU7Ay074N
44,Queendom,AURORA,2018-09-28,False,spotify:track:3atXfSavxWkrzRNuwzlow6,51,Sindri,https://open.spotify.com/track/3atXfSavxWkrzRNuwzlow6,1WgXqy2Dd70QQOU7Ay074N
45,Hero,Skillet,2009-08-21,False,spotify:track:4CbKVDZkYKdv69I4bCaKUq,71,Sindri,https://open.spotify.com/track/4CbKVDZkYKdv69I4bCaKUq,49bzE5vRBRIota4qeHtQM8
46,Good Goodbye (feat. Pusha T and Stormzy),"['Linkin Park', 'Pusha T', 'Stormzy']",2017-05-19,False,spotify:track:650OeHTLxZAQmb4aEbGmaA,61,Sindri,https://open.spotify.com/track/650OeHTLxZAQmb4aEbGmaA,"['6XyY86QOPPrYVGvF9ch6wz', '0ONHkAv9pCAFxb0zJwDNTy', '2SrSdSvpminqmStGELCSNd']"
47,Battle Symphony,Linkin Park,2017-05-19,False,spotify:track:3FQCJI2t5LTbsRPfYVBSVB,63,Sindri,https://open.spotify.com/track/3FQCJI2t5LTbsRPfYVBSVB,6XyY86QOPPrYVGvF9ch6wz
48,Hit the Floor,Linkin Park,2003-03-24,False,spotify:track:4wHktoSf6C0C0fAO8IIWqs,57,Sindri,https://open.spotify.com/track/4wHktoSf6C0C0fAO8IIWqs,6XyY86QOPPrYVGvF9ch6wz
49,Creatures Lie Here,"['ESV Eastside Villainz', 'ScottFree Music']",2013-01-01,True,spotify:track:75N9pZJD6eeeUCzU9WV2Dt,58,Miriam,https://open.spotify.com/track/75N9pZJD6eeeUCzU9WV2Dt,"['2BE7akSWDVJtvsE4CknHKX', '2Mm5YwY0VsWKT3RPkG3Ely']"
50,Numb / Encore,"['JAY-Z', 'Linkin Park']",2004-11-30,True,spotify:track:5sNESr6pQfIhL3krM8CtZn,77,Miriam,https://open.spotify.com/track/5sNESr6pQfIhL3krM8CtZn,"['3nFkdlSjzX9mRTtwJOzDYB', '6XyY86QOPPrYVGvF9ch6wz']"
